"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Verify that an existing booking can be retrieved.
","147","test_get_booking","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking.py","",""
"","121","Verify patch is rejected with invalid token","Python API Automation","2026-09-08","passed","2026-09-08","","test_api_coverage.py","",""
"","99","test_create_booking_invalid_payload[missing_firstname]","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking_negative.py","",""
"
Verify that selected booking fields can be partially updated.
","66","test_patch_booking","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking.py","",""
"
Verify that a new booking can be created successfully.
","144","test_create_booking[firstname_David]","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking.py","",""
"","180","Verify get all bookings returns a JSON list","Python API Automation","2026-09-08","passed","2026-09-08","","test_api_coverage.py","",""
"","132","Verify booking service health endpoint","Python API Automation","2026-09-08","passed","2026-09-08","","test_api_coverage.py","",""
"","155","Verify booking can be filtered by first name","Python API Automation","2026-09-08","passed","2026-09-08","","test_api_coverage.py","",""
"","151","Verify update is rejected with invalid token","Python API Automation","2026-09-08","passed","2026-09-08","","test_api_coverage.py","",""
"
Verify that an existing booking can be fully updated.
","77","test_update_booking","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking.py","",""
