"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/home/runner/work/Python-SDET-API-Automation/Python-SDET-API-Automation/features/authentication/authentication.feature: Generate authentication token with valid credentials","303","test_generate_authentication_token_with_valid_credentials","Python API Automation","2026-09-08","passed","2026-09-08","","test_auth_steps.py","",""
"
Verify that a newly created booking can be retrieved
using the dynamically generated booking ID.
","386","test_create_and_get_booking","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking.py","",""
"","373","Verify patch is rejected with invalid token","Python API Automation","2026-09-08","passed","2026-09-08","","test_api_coverage.py","",""
"","142","Verify PATCH changes only selected booking fields","Python API Automation","2026-09-08","passed","2026-09-08","","test_api_coverage.py","",""
"","371","Verify booking creation using reusable factory data","Python API Automation","2026-09-08","passed","2026-09-08","","test_api_coverage.py","",""
"","299","Verify authentication rejects invalid credentials","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking_negative.py","",""
"/home/runner/work/Python-SDET-API-Automation/Python-SDET-API-Automation/features/booking/booking_deletion.feature: Delete an existing booking successfully","517","test_delete_an_existing_booking_successfully","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking_steps.py","",""
"
Verify that an existing booking can be deleted successfully.
","282","test_delete_booking","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking.py","",""
"
Verify that selected booking fields can be partially updated.
","218","test_patch_booking","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking.py","",""
"","298","Verify authentication rejects invalid credentials","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking_negative.py","",""
"
Verify that a new booking can be created successfully.
","300","test_create_booking[firstname_David]","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking.py","",""
"","299","test_create_booking_invalid_payload[invalid_price_type]","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking_negative.py","",""
"","310","Verify booking service health endpoint","Python API Automation","2026-09-08","passed","2026-09-08","","test_api_coverage.py","",""
"","298","Generate authentication token with valid credentials","Python API Automation","2026-09-08","passed","2026-09-08","","test_auth.py","",""
"","372","Verify update is rejected with invalid token","Python API Automation","2026-09-08","passed","2026-09-08","","test_api_coverage.py","",""
"
Verify that a new booking can be created successfully.
","327","test_create_booking[firstname_Michael]","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking.py","",""
"
Verify that an existing booking can be fully updated.
","216","test_update_booking","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking.py","",""
"","450","Verify booking list entries contain booking IDs","Python API Automation","2026-09-08","passed","2026-09-08","","test_api_coverage.py","",""
"","439","Verify get all bookings returns a JSON list","Python API Automation","2026-09-08","passed","2026-09-08","","test_api_coverage.py","",""
